DATE,TIME,EVENT,ADDRESS,LOCATION,Latitude,Longitude
7/10/2022,2:45:25 AM,FIRE ALARM,10833 LE CONTE AVE,CENTER FOR HEALTH SCIENCES,34.0642829,-118.4423562
7/8/2022,4:06:23 AM,FIRE ALARM,251 CHARLES E YOUNG DR W,CARNESALE COMMONS,34.072096,-118.4498056
7/7/2022,8:59:13 AM,FIRE ALARM,650 CHARLES E YOUNG DR S,SCHOOL OF PUBLIC HEALTH,34.0664143,-118.4440357
7/7/2022,6:43:59 AM,FIRE ALARM,401 CHARLES E YOUNG DR W,DYKSTRA HALL,34.0700008,-118.4500809
7/7/2022,3:12:39 AM,FIRE ALARM,757 WESTWOOD PZ,RONALD REAGAN UCLA MEDICAL CENTER,34.0664764,-118.4465738
7/6/2022,6:46:09 PM,FIRE ALARM,607 CHARLES E YOUNG DR E,YOUNG HALL,34.0688448,-118.4412088
7/6/2022,12:44:11 AM,FIRE ALARM,607 CHARLES E YOUNG DR E,YOUNG HALL,34.0688448,-118.4412088
7/5/2022,5:31:04 PM,FIRE ALARM,675 CHARLES E YOUNG DR S,MACDONALD RESEARCH LABORATORY,34.0671114,-118.4439594
7/5/2022,8:33:30 AM,FIRE ALARM,250 DE NEVE DR,HEDRICK HALL,34.0731836,-118.4523152
7/4/2022,10:05:22 PM,FIRE ALARM,715 GAYLEY AVE,GAYLEY COURT,34.0650434,-118.4482387
7/4/2022,7:42:56 PM,FIRE ALARM,502 PORTOLA PZ,FRANZ HALL,34.0696422,-118.4412792
7/4/2022,6:23:09 PM,FIRE ALARM,607 CHARLES E YOUNG DR E,YOUNG HALL,34.0688448,-118.4412088
7/4/2022,6:20:49 PM,FIRE ALARM,570 WESTWOOD PZ,CALIFORNIA NANOSYSTEMS INSTITUTE,34.0678484,-118.4437715
7/2/2022,8:00:21 PM,FIRE ALARM,337 CHARLES E YOUNG DR E,PUBLIC AFFAIRS BUILDING,34.0741192,-118.4392242
7/1/2022,2:05:42 PM,FIRE ALARM,900 WEYBURN PL,WARREN HALL,34.0625088,-118.4499425
7/1/2022,3:53:29 AM,FIRE ALARM,351 CHARLES E YOUNG DR W,DE NEVE PLAZA,34.0704055,-118.4501706
6/30/2022,11:32:59 AM,FIRE ALARM,308 WESTWOOD PZ,ACKERMAN UNION,34.070418,-118.4441451
6/28/2022,3:53:29 PM,FIRE ALARM,502 PORTOLA PZ,FRANZ HALL,34.0696422,-118.4412792
6/27/2022,11:03:46 AM,FIRE ALARM,614 CHARLES E YOUNG DR S,PLANT GROWTH CENTER,34.0663121,-118.4402932
6/25/2022,8:01:10 AM,FIRE ALARM,10833 LE CONTE AVE,CENTER FOR HEALTH SCIENCES,34.0642829,-118.4423562
6/23/2022,2:11:25 PM,FIRE ALARM,308 WESTWOOD PZ,KERCKHOFF HALL,34.070418,-118.4441451
6/23/2022,11:54:27 AM,FIRE ALARM,430 CHARLES E YOUNG DR W,WASSERMAN FOOTBALL CENTER,34.069298,-118.4475013
6/22/2022,6:27:37 PM,FIRE ALARM,351 CHARLES E YOUNG DR W,DE NEVE PODIUM BUILDING,34.0704055,-118.4501706
